0.006	0.051	0
0.003	0.015	0
0.005	0.012	0
0.686	0.874	1
0.002	0.015	0
0.025	0.012	0
0.022	0.028	0
0.01	0.059	0
1	0.934	1
0.99	0.934	1
0.006	0.032	0
0.031	0.017	0
0.001	0.025	0
0.086	0.997	1
0.005	0.043	0
0.865	0.05	0
0.416	0.092	0
0.001	0.013	0
0.147	0.06	0
0.013	0.252	0
0.498	0.062	0
0	0.045	0
0.049	0.034	0
0.943	0.027	0
0.001	0.022	0
1	0.991	1
0.86	0.797	1
0.984	0.991	1
0.004	0.027	0
0.002	0.017	0
0.989	0.934	1
0.015	0.012	0
1	0.934	1
0.41	0.742	1
0.005	0.03	0
0.001	0.013	0
0.203	0.062	0
0.968	0.939	1
0.029	0.018	0
0.002	0.02	0
0.017	0.061	0
0.018	0.018	0
0	0.023	0
0.047	0.8	0
0.011	0.084	0
0.161	0.91	0
1	0.994	1
0.03	0.011	0
0.003	0.011	0
0.004	0.019	0
0.422	0.016	0
1	0.997	1
0.001	0.014	0
0.318	0.547	1
0.82	0.608	1
0.003	0.023	0
1	0.996	1
0.612	0.714	1
0.003	0.021	0
0.045	0.742	0
0.02	0.022	0
0.007	0.031	0
0.001	0.117	0
1	0.994	1
0.993	0.993	1
0.002	0.014	0
0.099	0.025	0
0.114	0.068	0
1	0.996	1
0.063	0.062	0
0.025	0.13	0
0.006	0.018	0
1	0.149	1
0.005	0.218	0
0.004	0.453	0
0.05	0.02	0
0.006	0.015	0
0.178	0.213	0
0.002	0.034	0
0.002	0.013	0
1	0.934	1
0.159	0.053	0
0.753	0.559	1
0.003	0.012	0
0.027	0.015	0
0.001	0.06	0
1	1	1
0.004	0.038	0
1	0.996	1
0.015	0.418	0
0.004	0.035	0
0.999	0.989	1
0.001	0.013	0
1	0.939	1
1	0.972	1
0.002	0.397	0
0.536	0.152	1
0.518	0.438	1
0.004	0.091	0
0.028	0.016	0
0	0.028	0
0.136	0.566	0
0.012	0.012	0
0.007	0.686	0
0.002	0.015	0
0.062	0.037	0
0.001	0.071	0
0.012	0.025	0
0.001	0.021	0
0.001	0.025	0
0.194	0.462	0
1	1	1
0.005	0.06	0
0.957	0.947	1
0.015	0.013	0
0.971	0.026	1
0.764	1	1
0	0.042	0
0.961	0.979	1
0.001	0.026	0
0.032	0.059	0
0.002	0.014	0
0.008	0.031	0
1	0.945	1
0.013	0.318	0
0.001	0.037	0
1	0.997	1
0.772	0.59	1
0.876	0.898	1
0.985	1	1
1	0.995	1
1	1	1
0.991	0.937	1
1	1	1
0.008	0.013	0
0.001	0.079	0
0.137	0.022	0
0.057	0.049	0
0.021	0.061	0
1	0.99	1
0.029	0.013	0
1	0.77	1
0	0.092	0
0.037	0.028	0
0.011	0.027	0
0.682	0.702	0
0.01	0.014	0
0.001	0.011	0
0.485	0.109	1
0.26	0.88	0
0.004	0.092	0
1	0.987	1
0.007	0.01	0
